date,confirmed,recovered,death,odp,pdp
3/19/2020,0,0,0,0,1
3/20/2020,2,0,0,0,6
3/21/2020,2,0,0,0,6
3/22/2020,2,0,0,0,6
3/23/2020,3,0,0,15,7
3/24/2020,8,0,0,15,7
3/25/2020,8,0,0,34,8
3/26/2020,8,0,0,34,9
